vin,nom,ville,etat
5UXFA93534L874770,Corina Meakin,Nashville,Tennessee
WBAEN33422P363303,Sheryl Grinishin,Las Vegas,Nevada
KM8JT3AC0AU731135,Nollie Faughey,Orlando,Florida
JTDKDTB39E1107961,Edgard Port,Salinas,California
WA1LFBFP8BA978216,Vickie Greengrass,Minneapolis,Minnesota
WAUVC68E75A825323,Merell Schuchmacher,Tacoma,Washington
WAUGFAFC1EN201045,Christina Chilley,New Orleans,Louisiana
WBA3R5C59FF133799,Quincey Grzelak,Warren,Michigan
WBALM5C55AE150905,Homer MacIver,Inglewood,California
1D7RB1GT8BS833162,Katrinka Tremblet,Atlanta,Georgia
1G6DK8EYXB0784007,Catie McBrearty,Atlanta,Georgia
5UXFG4C52AL471330,Urban Vlasyev,Omaha,Nebraska
WBAGL63462D427991,Viviyan Dowbiggin,Hayward,California
3C3CFFBR4ET056323,Maynard Di Biaggi,Louisville,Kentucky
2T1BU4EE2BC186559,Tierney Syncke,Salem,Oregon
5J8TB4H59EL336512,Delano Tuohy,Salt Lake City,Utah
2C3CDXDT2DH433436,Timothy Voas,New York City,New York
5UXKS4C5XE0143223,Simmonds Pash,Mesa,Arizona
KMHDB8AE2CU290920,Shea Lympany,Youngstown,Ohio
WBA4A7C59FD084459,Remus Elby,Philadelphia,Pennsylvania
1D7RB1CP8AS484978,Giavani Upwood,Huntsville,Alabama
1D4RE3GG0BC235984,Fran Alentyev,Cedar Rapids,Iowa
JTDKN3DU6F0564821,Melodie Rolling,Bradenton,Florida
1C3CDZAB2CN318378,Krishnah Bellwood,Dallas,Texas
SCFHDDAJXBA574691,Garwood Semonin,Columbus,Georgia
WAUA2AFD7EN841254,Hammad Mangan,Sacramento,California
1GYS4LKJ1FR542386,Tildie Delle,Fort Myers,Florida
3VW1K7AJ9FM879354,Gisella Hew,Newport News,Virginia
5GAKVCED1BJ917115,Patty Le Frank,Evansville,Indiana
1GTN2TEH9FZ569448,Kitti Hulme,Phoenix,Arizona
1G6DJ5ED1B0806183,Clarabelle Jobson,Scottsdale,Arizona
4T1BF1FK2CU321388,Florinda Ellif,Jacksonville,Florida
KNADH5A31A6078671,Nowell Daunay,Baltimore,Maryland
1N4AL3AP2EC207686,Vannie Aris,Washington,District of Columbia
WAUKF78E78A868807,Mala Marshallsay,Washington,District of Columbia
1G6DZ67A290578495,West Gadsdon,Pittsburgh,Pennsylvania
5J8TB4H37GL186742,Frazier Gentery,Buffalo,New York
19UUA65686A444231,Rand Spong,Denver,Colorado
JN8AF5MR7BT626224,Sibley Gall,Philadelphia,Pennsylvania
WAULC68E15A891213,Rochell McKenna,Montgomery,Alabama
19XFA1F33AE608876,Garfield Howen,Atlanta,Georgia
5BZAF0AA1FN740887,Daryl Vecard,Biloxi,Mississippi
3N1AB7AP9FL263119,Daffy Phelit,Irvine,California
YV1902MD0F1776559,Corina Fernyhough,Richmond,Virginia
WBA3N7C58EF801579,Tally Kief,Vero Beach,Florida
WAULT64B12N920998,Crystie Scard,Raleigh,North Carolina
1G6YV36AX75921034,Ricca Mullenger,Miami,Florida
5N1AT2ML5FC898996,Marley Freestone,Toledo,Ohio
JN8AF5MR3CT045868,Germaine Brand,Lees Summit,Missouri
5N1AA0NC8BN939886,Molli Flasby,Inglewood,California
4A31K2DF6BE139142,Des Doak,New York City,New York
WAULT58E32A115364,Vinny Vodden,Reno,Nevada
1FMJK1H52EE744190,Lana Atherley,Wichita,Kansas
2C4RVAAG3CR263376,Emanuel Itzik,Monroe,Louisiana
WAUVC58E95A444504,Christoper Tumelty,Pasadena,California
3C63D3CL1CG027742,Mechelle Vicker,Carlsbad,California
WAUEH94F07N977344,Yovonnda Caldaro,White Plains,New York
3C63DRALXCG713820,Garnette Sedge,Los Angeles,California
JM1NC2SF5F0048368,Chloe Kermott,Richmond,California
5FRYD3H2XGB984623,Vernor Nibloe,Evansville,Indiana
3D7TP2HT5AG909244,Juliane Everex,Lafayette,Louisiana
19UUA9F59CA849436,Haley Kunkel,San Diego,California
WDDGF4HB3EG434704,Gallard McMurraya,Minneapolis,Minnesota
JTJHY7AX2E4670355,Timmie Budgey,Memphis,Tennessee
WBADR63412G555166,Bing Turfs,Chicago,Illinois
1G4GL5E39CF973526,Tessi Dudbridge,New York City,New York
SCFEBBCF6BG843224,Darda Egginson,Hyattsville,Maryland
1D7RV1CT9BS262133,Laural Figgess,Great Neck,New York
5NPDH4AE5EH602897,Mildrid Metzig,Omaha,Nebraska
4T1BD1FK8EU593405,Venita Lanfranconi,Pomona,California
JH4KC1F51FC135700,Peri Flecknell,Memphis,Tennessee
JTHFE2C27C2225513,Donetta Cheetham,Birmingham,Alabama
2T2BK1BA9DC432124,Shirl Degg,Charlotte,North Carolina
1GD21XEG7FZ214813,Lance Schwand,Toledo,Ohio
1GYEC63N36R509425,Louis Sonier,Cincinnati,Ohio
4T3BA3BB9AU042797,Nadeen Drinkall,El Paso,Texas
SCBLF34F16C281392,Brig Gras,Erie,Pennsylvania
1GYFK56259R646020,Cati Murrells,Brockton,Massachusetts
WBAPK7C58AA128892,Leann Sertin,San Diego,California
JN8AZ1MU3EW309600,Ilaire Thackeray,Garland,Texas
5XYKT3A12CG434945,Darelle Heinig,Washington,District of Columbia
1FTMF1EW2AF570306,Inesita Sommers,Lexington,Kentucky
WA1AV74L29D782806,Luce Orgen,New York City,New York
1G4CW54K524110781,Geordie Latta,Hialeah,Florida
SCFAD02AX5G199427,Bartel Ellar,Portland,Oregon
KNADH4A30A6365705,Mendy Beckey,Washington,District of Columbia
SCBLC47J68C914924,Hugo Slimm,Buffalo,New York
2C4RDGCG5FR723578,Leanor Wadeson,Miami,Florida
3D73M4CL3BG892859,Andy Shatliffe,Flint,Michigan
1FA6P0G78F5062594,Clayton Gillman,Huntsville,Alabama
1G6DA5EG4A0096799,Morey Demelt,Roanoke,Virginia
1N4AL2EP2DC853961,Bond Challoner,Miami,Florida
TRUDD38J991557586,Karolina Baudone,Iowa City,Iowa
WAUAH78E56A970173,Ethyl Shervington,Kansas City,Missouri
1C4SDJCT5EC712406,Baudoin Astall,Tampa,Florida
SALGR2VF7FA543094,Elenore Jakov,Chattanooga,Tennessee
1FTFW1E85AF369820,Amalia Plenderleith,Harrisburg,Pennsylvania
JN8AF5MR9CT135977,Conn Macewan,Evansville,Indiana
JH4CW2H58DC780808,Adina Lindenfeld,El Paso,Texas
1C3CDFEB5ED306145,Nataniel Landell,Richmond,Virginia
5J8TB3H38EL750678,Munroe Tarver,High Point,North Carolina
1G4GF5G38EF717420,Anabal Megainey,Fort Smith,Arkansas
5N1AN0NU7AC651445,Adolphus Barnwill,Springfield,Missouri
SCFBB03B58G173968,Sly Zisneros,Lafayette,Indiana
1G6AV5S8XE0318739,Bettye Maskelyne,Brea,California
1FTFW1E8XAK145904,Grover Petracco,Peoria,Arizona
5J6YH1H30BL784353,Irena Dightham,Garland,Texas
WBAYF8C55FD499674,Lenna Coventon,Sarasota,Florida
4T1BF3EKXAU099886,Rochella Cater,Pittsburgh,Pennsylvania
JTEBU5JR4D5106205,Tory Dilks,Fort Lauderdale,Florida
WAUSH98E77A940190,Lelah Sibly,Phoenix,Arizona
3D4PG6FV8AT995117,Fitzgerald Erdis,Austin,Texas
3G5DA03L46S180287,Orville Andreazzi,Charlottesville,Virginia
WVWED7AJ4CW414779,Alica Giabucci,Fargo,North Dakota
SCBLC31E82C254379,Kerwinn Glacken,Indianapolis,Indiana
KMHCM3AC9BU096004,Laurene Hinkensen,Oklahoma City,Oklahoma
5UXZV4C56D0325859,Kerwinn Simionescu,Scranton,Pennsylvania
JN8AF5MR0CT564280,Vyky Frie,Brea,California
WA1VFBFL4EA723685,Fernandina Dietz,Johnson City,Tennessee
5XYZG3AB1CG958759,Tobey Commusso,Dallas,Texas
3GYFNHE33DS612196,Hadlee McAdam,Springfield,Illinois
WAUYGAFC7CN904969,Cristal Ortner,Arlington,Texas
JN8AZ1MU5AW743351,Leola Baldwin,Oceanside,California
3C4PDCABXCT003077,Mischa Masden,Modesto,California
WAUEG78E16A792508,Joyous Bolf,Lansing,Michigan
WD3PE7DC2F5165924,Delly Basson,Cleveland,Ohio
WAUAH94F26N646262,Creight Akerman,Naples,Florida
3C4PDDDG0CT476239,Chickie McEachern,Seattle,Washington
WAUWMAFC9FN367509,Audrey Rollings,Stamford,Connecticut
5N1AA0NC9DN072579,Odetta O'Curneen,Albany,New York
WAUAVAFD5CN539983,Fremont Durgan,San Jose,California
3G5DB03E53S443378,Delores Rayne,Tampa,Florida
WA1MYBFE7AD205215,Maurise Axcell,Las Vegas,Nevada
1G6KD57YX8U503712,Keen Lineen,Colorado Springs,Colorado
YV126MEC0F1936263,Lelah Beecham,Columbus,Ohio
YV1612FH1D2994047,Denys Dwane,Newton,Massachusetts
WBA3T3C59FP489220,Beulah Attawell,Saint Louis,Missouri
JN8AZ2KR5AT074973,Web Deyes,Migrate,Kentucky
1N6AA0CA5EN258320,Richart Crosthwaite,Kansas City,Missouri
WVWED7AJ6DW602141,Chane Isack,Galveston,Texas
2C3CCAEG2EH948326,Harmonie M'Quharge,Savannah,Georgia
WVWAA7AJ0CW804091,Winna Potell,Atlanta,Georgia
WBAVC53507A579932,Cammie Clementel,Atlanta,Georgia
1GYS3JEF7DR546471,Deena Seniour,Washington,District of Columbia
WBA3C3G55FN330250,Dannie Llorente,Montgomery,Alabama
3VW517AT8EM493514,Joane Venner,Dallas,Texas
1N4AB7AP4EN828331,Felicity Yarnold,Charleston,West Virginia
1G4GE5GD1BF708548,Chad Tinkler,Las Vegas,Nevada
WAUSH78E28A884942,Sancho Alvar,Dallas,Texas
1G6AC5S30F0012712,Charlie Bradnum,Jacksonville,Florida
5J6YH1H3XAL087223,Melinde Dominici,San Jose,California
JM1BL1L35C1545492,Lorrin Borgars,Lexington,Kentucky
1ZVBP8JS6B5631244,Cullan Lownsbrough,Flint,Michigan
5N1CR2MN7EC499790,Marcella Corringham,New York City,New York
2C3CCAET6CH006788,Celestine Yate,Shreveport,Louisiana
JH4KC1F30EC721527,Charmane Eytel,Naples,Florida
WA1LMBFEXED526873,Benoit Arton,Grand Junction,Colorado
WA1WMBFEXBD369211,Marjorie Valentin,Gatesville,Texas
JTHBB1BA2A2472915,Germaine Janik,Las Vegas,Nevada
JTDKDTB38D1267179,Livvyy Djurdjevic,Homestead,Florida
SALWG2VF9FA889780,Hugo Cutchey,Evanston,Illinois
WBAPH53589A343705,Frankie Humbey,Houston,Texas
2HNYD28317H565682,Arlie Parradine,Saint Paul,Minnesota
2FMGK5D85FB606500,Dominga Meryett,Sacramento,California
KNDKG3A21A7574282,Georgetta Choppen,Youngstown,Ohio
1G6DL5EY6B0694526,Price McKeurtan,Hartford,Connecticut
3N1CN7AP4DL595613,Marcia Oki,Nashville,Tennessee
WAUDF78E75A348448,Marley Martin,Oakland,California
WBABV13444J237649,Maddie Dubs,Pompano Beach,Florida
WAULK78K99A219968,Marcy Trelevan,Lubbock,Texas
1N6AF0KY5FN145114,Quillan Hover,San Diego,California
WBAVL1C55FV265922,Madelina Egdal,Houston,Texas
5TDDK3DC2FS591200,Gennie Oxtiby,Hyattsville,Maryland
WDDHF2EB3DA667142,Katti Markson,Melbourne,Florida
5TDDK3DC6FS408784,Donnie Cuthill,Juneau,Alaska
WAUAFAFL7FN395409,Abagael Evason,Boulder,Colorado
1GYUKHEF3AR858321,Fonz Farady,Anchorage,Alaska
1J4NF1GB5BD156347,Fleurette Camplejohn,Long Beach,California
1C3BCBGG3DN764095,Alfie Coules,Warren,Ohio
1FTMF1CW0AK179200,Roseanna Spindler,San Diego,California
1N6AA0EC9EN676328,Kylen Bestwerthick,Minneapolis,Minnesota
WA1WKBFP0BA264279,Maurise Titterington,Albany,New York
WA1WKAFP4CA722403,Lauree Huxton,Norfolk,Virginia
5TDBY5G11ES571854,Stan Mattam,Austin,Texas
W04GV5EV3B1764854,Harlin Etchingham,Shreveport,Louisiana
1HGCR6F39EA936449,Atlanta Whitwam,Jackson,Mississippi
1D7CE3GK9AS353260,Beulah Hiers,Raleigh,North Carolina
1N6AD0CW3EN144447,Teador Jindrich,Bronx,New York
JN1CY0AP3AM901278,Jobey Paris,Metairie,Louisiana
1G6DP8EV8A0421534,Lisette Lindback,Racine,Wisconsin
1N6AD0CU0CC642080,Angelica Winyard,Irvine,California
1GYS3EEJ7DR911114,Nicola Poulter,Tacoma,Washington
KMHGC4DD0EU707315,Adler Poynzer,Mansfield,Ohio
SCBZK25E52C156329,Gael Burberow,Omaha,Nebraska
JH4CL96988C429765,Ruttger Ryson,Pittsburgh,Pennsylvania
1G6DL1E34D0449661,Angie Delue,Chicago,Illinois
1D7RB1GK3BS579996,Adrian Priel,New Orleans,Louisiana
1N6BF0KM5FN987453,Page Oylett,Eugene,Oregon
1FT7W2A60EE193737,Aron Collyear,Roanoke,Virginia
1G6DM5EY5B0474761,Adolphus Ortler,Lubbock,Texas
19XFB4F28FE549014,Cleon Gimert,Virginia Beach,Virginia
SAJWA4DC7FM928779,Vinson Heffer,Newark,New Jersey
WDDGF4HB3EA621248,Wilie Undrell,Saint Paul,Minnesota
WBADS43492G265847,Porter Crudginton,San Diego,California
JTHHE5BC3F5859215,Eudora Skilbeck,Lees Summit,Missouri
KMHTC6AD8EU528986,Zilvia Bernardeau,Austin,Texas
1G6DL1ED3B0417368,Rafael Bellay,Grand Rapids,Michigan
WAUPFAFM3AA330687,Rodrique McKern,Sacramento,California
WAUSG74F99N286827,Griffin Whitham,Peoria,Illinois
KNAFU6A27B5845013,Florian Coulbeck,Albuquerque,New Mexico
2C3CDXCT9FH583791,Osborne Pellingar,Vero Beach,Florida
3D73Y3HL9AG935378,Xavier Haye,Round Rock,Texas
1G6AJ1RX5F0553164,Talia Myott,Saint Cloud,Minnesota
WAUDGBFL8CA402600,Alaric Betke,North Hollywood,California
5GAKRAED1CJ678790,Hubie Padgham,Washington,District of Columbia
WVGAV3AX4DW671625,June Ligertwood,Richmond,Virginia
WBA5A7C59FG018335,Dulciana Mulder,Macon,Georgia
WUATNAFG3EN601196,Etti Barbie,Odessa,Texas
WAUNF68P96A609628,Johnath Roselli,Palatine,Illinois
3D73M4CL2AG957022,Casper Peers,Edmond,Oklahoma
1ZVBP8AN2A5210114,Lydia Joinson,Chicago,Illinois
WAUKH94F56N927234,Alphonse Ellis,Jacksonville,Florida
KMHFH4JG5FA202501,Chuck Klamman,Springfield,Missouri
WBA5B1C58ED388556,Clarinda Boutcher,Salem,Oregon
SCBLC31E12C170985,Katerine O'Hear,El Paso,Texas
JN1CV6AP5BM390413,Hillard Jurs,El Paso,Texas
JN8AZ1FY2DW417561,Donny De Launde,Tucson,Arizona
WAUDFAFL3FN567223,Kate Childes,Washington,District of Columbia
KMHHT6KD4DU204789,Marilin Stanbrooke,Grand Rapids,Michigan
WAUBF98E08A253897,Madelin Critch,Fairfield,Connecticut
WAUJT54B03N486561,Jeannie Wishkar,Ashburn,Virginia
1FMJK1G56AE141349,Milton Fisher,El Paso,Texas
5TFCY5F14BX113706,Adriena MacCrosson,Marietta,Georgia
YV1672MK2C2907526,Kasper Barracks,West Palm Beach,Florida
WBAEN33444E595173,Joycelin Tarbox,Fresno,California
WAUBGAFC2CN090218,Drusilla Tidbold,Hartford,Connecticut
WBAKE5C54CJ411699,Gerry Cicconetti,Austin,Texas
SALWG2WF1EA065091,Marin Youthed,Flint,Michigan
JN8AZ1MU7EW421767,Herman Pilbeam,Houston,Texas
WA1YD54B43N859187,Betti McHale,Prescott,Arizona
1C4AJWAG9FL403949,Winne Trickett,Newton,Massachusetts
JH4DC53043S451988,Doug Howsden,Portland,Maine
WBAKG7C52BE316393,Carlita Morl,Knoxville,Tennessee
WBXPA93425W039162,Byran Dowthwaite,Tacoma,Washington
1G6DH8E55D0327435,Rafferty Elfes,New York City,New York
1GYUCDEF4AR918421,Ada Pontefract,Honolulu,Hawaii
1D7CW5GK1AS707586,Winn O'Glessane,Peoria,Illinois
SALFR2BG9DH493084,Brewster Cutridge,Washington,District of Columbia
3MZBM1L75EM460042,Sayres Riedel,Bakersfield,California
WBALW7C58DD020195,Morlee Swinerd,York,Pennsylvania
5UXFB93522L963627,Euphemia Soeiro,Charleston,West Virginia
1G6KF57941U986218,Dasi Banisch,Houston,Texas
WAUBH74F66N453427,Kingsley Keenlyside,Albany,New York
JN1CV6FE8FM071343,Brendan Esseby,Boston,Massachusetts
WAULT54B12N054942,Sonny Veevers,Richmond,Virginia
1G6DL5E39C0251700,Kristi Wortt,Largo,Florida
JTHBW1GG3D2344656,Pierce Paddingdon,Madison,Wisconsin
1C6RD7LP4CS538018,Shem Mongenot,Honolulu,Hawaii
3GTXKYEJ5AG329282,Nancie Gribble,Washington,District of Columbia
5N1AA0NE0EN321855,Cheryl Stonall,Sacramento,California
WA1WKAFP2BA147586,Cindie Condon,Miami,Florida
SALAB2D49DA761884,Cleo Whitsey,Carol Stream,Illinois
1N4AL3AP6EC741757,Fredericka Queripel,Phoenix,Arizona
1YVHZ8BH5B5173314,Jenelle Howkins,Memphis,Tennessee
19VDE1F50DE094897,Lanni Klemensiewicz,Nashville,Tennessee
1GD22ZCG7DZ247738,Gussie McKoy,Jacksonville,Florida
JM1NC2JF5D0786220,Daphna Wrathmell,Des Moines,Iowa
SCFBF03B77G557012,Gunilla Hessing,Mobile,Alabama
1G4GG5E33DF596326,Ula Simmans,Bronx,New York
2C4RDGEG1DR159695,Heall Siberry,New York City,New York
WBAPT7C55AC296054,Jorry Andriveau,Columbus,Ohio
JTHBW1GGXD2866474,Opalina Saul,Saint Cloud,Minnesota
WAUCFAFC9DN144171,Patricia Hasson,Decatur,Georgia
WAUWGBFB0BN121379,Lazarus Spir,Milwaukee,Wisconsin
KMHGN4JE2FU834348,Leticia Macvain,Cedar Rapids,Iowa
1N6AF0LX3FN426799,Lambert Henryson,Minneapolis,Minnesota
WBA3G7C57FK525317,Frankie Siddall,Ocala,Florida
WVWED7AJ0DW933569,Brittan Nibley,Monticello,Minnesota
JM1DE1KY7C0132589,Cordey Slesser,Memphis,Tennessee
1J4RG4GK4AC762081,Talbot Streater,Fort Wayne,Indiana
1VWAH7A3XEC279555,Lucio Sommerled,Washington,District of Columbia
YV1902FH9D2065658,Ginnie O'Reilly,Newark,New Jersey
WAUDL94F46N678125,Darryl Clitheroe,Tucson,Arizona
YV1612FH9E1054537,Kylila Gude,Minneapolis,Minnesota
WBAUN1C54BV819810,Amabelle Diwell,Augusta,Georgia
WBANE53506C080111,Giraud Stubbs,Miami,Florida
WBAKF9C59CE002532,Scarlet Guillford,Waterloo,Iowa
5TFBY5F14CX523127,Coleman Aloigi,Springfield,Illinois
WAUUL68E45A155970,Arlan Borrell,Clearwater,Florida
1FTEW1CW3AF064751,Stephanus Millichap,Tucson,Arizona
3FAHP0DC6BR418607,Quinta Carman,Shawnee Mission,Kansas
JM3ER2A55C0578933,Miguelita Alejandro,Wichita,Kansas
1GYS4RKJ8FR313092,Olivier Chappelle,El Paso,Texas
1G6YV36A695174521,Arlana Bickerdicke,Modesto,California
WAUDF78E38A436224,Linell Healeas,Stamford,Connecticut
1G6AD5S32D0317588,Jobie Creamer,Huntington,West Virginia
WDDEJ7EB3EA835569,Ondrea Piscot,Seattle,Washington
WBAEN33425E612618,Elsinore Aylett,Birmingham,Alabama
1FTNF1E89AK418634,Dayle Blakeley,Boise,Idaho
3D73M4CL8AG470651,Gisella Felmingham,Bethesda,Maryland
WDDHF5GB7AA905181,Alvan Rozycki,Colorado Springs,Colorado
YV1612FS3E1248928,Nev Bartolozzi,Portland,Oregon
SCBFR7ZA7CC843073,Antin Freschi,Nashville,Tennessee
5N1AA0NC8CN622532,Margaret Kirkebye,Washington,District of Columbia
WP0AA2A87EK466294,Douglass Vedenyapin,Columbus,Ohio
WAUPEAFM4AA127424,Darleen Loton,Dallas,Texas
SAJWA4EC5BM009176,Florian Mee,Boston,Massachusetts
1C3CDFDH5ED553588,Fax Hughland,Fort Wayne,Indiana
2G4WS55J041428255,Aundrea Fitzsymonds,Cleveland,Ohio
WAUSH98E87A715664,Prue Duhig,Sacramento,California
WBABN73463P561345,Giusto Robillard,Lubbock,Texas
SCFAD06D89G089146,Daune Pincott,New York City,New York
5TDDK3DC1ES622032,Andra Kilpin,Albany,Georgia
JN1CV6AP4BM022496,Kippie Dielhenn,Torrance,California
WAUDT74F95N033666,Wash Trippick,Arlington,Virginia
1G4GH5E31DF245766,Bonnee Collingham,Augusta,Georgia
WBANB33594B726195,Malina Mouatt,Rochester,Minnesota
WBAPM5C51BA943550,Imojean Bilby,Washington,District of Columbia
1G4GA5ECXBF098266,Issy Elleyne,Wilmington,North Carolina
JTJBM7FX3C5865902,Corey Dodshon,Roanoke,Virginia
SAJWA0F72F8701033,Rodolfo Karlsson,Humble,Texas
WAUNF98P08A955149,Isobel Radmer,Flushing,New York
1C4RDJAG6CC490671,Christie Wannell,Schaumburg,Illinois
JTHKD5BH9D2779100,Binny Keinrat,Milwaukee,Wisconsin
WBALM7C56EJ739289,Stefa Lipmann,Scottsdale,Arizona
1G6AZ5S37F0888904,Roddy Hammon,Scottsdale,Arizona
SALWR2TF4FA680153,Kurtis Haffard,Boca Raton,Florida
1FTSW3A50AE225751,Lowell Rozanski,Winston Salem,North Carolina
1FBNE3BL7AD592119,D'arcy Barr,Alexandria,Virginia
JN8AZ1MU8DW353803,Sigrid Gouck,Lexington,Kentucky
WBAEK73495B545386,Geordie Blouet,Amarillo,Texas
5UXZV4C54D0382092,Tucky Tedstone,Dallas,Texas
WAURFAFR8AA191922,Jordan Burns,Torrance,California
3GYT4MEF3BG780364,Rosie Corps,Salt Lake City,Utah
5N1AA0ND6EN011023,Corrianne Jeske,Fort Lauderdale,Florida
WBAWV53517P391836,Suzie Bothbie,Salt Lake City,Utah
JM3TB2BV2E0076734,Hatty Tippler,Anderson,Indiana
WUATNAFG8CN315437,Tarrah Bril,Sarasota,Florida
WP1AA2AP7AL081745,Trista Bodega,Erie,Pennsylvania
SCFAB02E99G131764,Edwina Seabrook,Fort Smith,Arkansas
WDDJK7DA7FF066244,Cort Bishell,Dallas,Texas
WBAKE5C58BE286049,Northrup Alison,Hollywood,Florida
1FTKR1AD6AP832535,Glenn Lendon,Minneapolis,Minnesota
1D7RW3BK9BS236505,Lanette Gherardelli,Greenville,South Carolina
WBAUN9C53AV715077,Rollo Neate,Denver,Colorado
3C63DPAL1CG135644,Thorstein Streat,Chattanooga,Tennessee
3D73M3CL4BG364760,Celestine Fluger,Anderson,South Carolina
WAUDGAFL4BA429818,Jeremie Fusedale,Detroit,Michigan
1G6DP8ED3B0106729,Dina Braunston,Sacramento,California
WDDUG7JB6EA067053,Dyna McCullough,Vero Beach,Florida
WA1VMAFE4BD815438,Christen Derks,Pueblo,Colorado
YV1902MC0F1780327,Toddie Ottee,Newark,New Jersey
2LMHJ5AT8EB027409,Welbie Carik,Las Vegas,Nevada
JN8AS5MTXFW470613,Keith Sirr,Toledo,Ohio
JHMFA3F24AS996733,Thorin Dargavel,Clearwater,Florida
1FTSX2B50AE297961,Ingar Dagwell,Saint Louis,Missouri
3D73M4CLXBG187945,Lea Serck,El Paso,Texas
1GT01ZCG7CF624115,Clevey Havvock,Virginia Beach,Virginia
1FAHP3HN7AW880330,Cris Gladyer,Plano,Texas
1G6KS54YX1U840624,Gwen Petworth,Tulsa,Oklahoma
WBAHN83517D278576,Gloria Boriston,Tampa,Florida
1N6AF0KY9EN720345,Yoko Willgoose,Memphis,Tennessee
WBAWB335X9P344336,Nicholle Malacrida,Daytona Beach,Florida
1G6DC5EG8A0608526,Bennett De La Haye,Portland,Oregon
1G6DM57NX30029050,Way Taphouse,Riverside,California
SCBGH3ZA4FC790823,El Phythien,Indianapolis,Indiana
JTMHY7AJ2A5846436,Kipp Huegett,New Haven,Connecticut
WP1AE2A27DL578114,Phyllis Pachmann,Migrate,Kentucky
3N1CN7AP9FL826170,Arnuad Bland,Fort Lauderdale,Florida
5UXFB53505L155886,Yolanthe Grouse,Kansas City,Missouri
1N6AF0LXXEN142410,Agretha Shalloe,Toledo,Ohio
WBASN2C58BC530177,Othello Vickors,Atlanta,Georgia
1FTEW1CM6DF945429,Sibbie Giottoi,Wichita,Kansas
5XYKT3A1XCG329862,Kania Winsor,Alpharetta,Georgia
WBAVB13556K075882,Eliza Rubinowicz,Mansfield,Ohio
1VWAH7A39EC988896,Bernardina Muehle,Cincinnati,Ohio
WBALW3C59DC426632,Dinah Kitter,San Jose,California
WAUDF98EX5A214514,Minnaminnie Dusting,Phoenix,Arizona
WBAVB73558P004559,Ker Presslie,Lees Summit,Missouri
SCBZK22E02C129043,Derrick Lampens,Mobile,Alabama
1N4AA5AP7BC031599,Christina Orae,Las Vegas,Nevada
5NPDH4AE2DH592022,Bruno O'Regan,New York City,New York
1GKMCCE3XAR896385,Kendra Nairns,Fort Smith,Arkansas
WAUDH98E68A004071,Dallas McNabb,Lexington,Kentucky
3VW507AT2EM631356,Mikol Happs,Huntington,West Virginia
1N6AA0CJ1EN761844,Homerus Mountney,West Hartford,Connecticut
WAUUL78E87A376058,Kit Dannehl,Winston Salem,North Carolina
WBA3N9C57EF033427,Suzanna Orgel,Lancaster,Pennsylvania
WA1CMBFPXFA385436,Aurthur Banton,Denver,Colorado
3FAHP0CG4BR784165,Colline Katz,Saint Louis,Missouri
1YVHZ8BH3B5121941,Berny Weatherhead,Pompano Beach,Florida
WBADX1C55BE495308,Derk Ericssen,Savannah,Georgia
SCBCP73W28C897322,Stephanus Slowan,Washington,District of Columbia
1FTSX2B57AE363650,Shaun O'Heyne,Denver,Colorado
WP0AD2A71EL890000,Erwin Biffen,Columbus,Ohio
