vin,nom,ville,etat
WAUFFAFL8FA618330,Kasper Rigmond,Washington,District of Columbia
1FTMF1E84AF649185,Kara-lynn Balaam,Odessa,Texas
WDDHF2EB3DA543324,Dan Bahike,Troy,Michigan
SCBGT3ZA8FC961765,Estel Etherson,Bradenton,Florida
5UXWY3C54F0080924,Cecilius Elph,Boynton Beach,Florida
JN1AZ4EH7FM540658,Rory Walsh,Lexington,Kentucky
WBAYF4C5XFG262234,Oralie McHaffy,Saint Paul,Minnesota
WAUDG74F49N383961,Frederic Mobberley,Chattanooga,Tennessee
2G4GL5EX4F9735096,Barnabas Winckles,Silver Spring,Maryland
WA1DGAFP3FA261384,Tibold Nulty,Hampton,Virginia
1FTSX2B54AE415431,Ezechiel Bellingham,Chicago,Illinois
WBADX1C57BE885343,Sheba Littrell,Louisville,Kentucky
WBADS33483G649386,Merell Mogie,Memphis,Tennessee
WAUJGAFC4DN859279,Ferne Colleton,Seattle,Washington
1G6AK5S34F0042508,Francesco Dunthorn,Henderson,Nevada
WA1MKBFP8AA515670,Colin Das,Tallahassee,Florida
NM0AE8F76F1253087,Karee Challens,Young America,Minnesota
WBA3N7C59EK131631,Gabriela Truscott,Shawnee Mission,Kansas
3LN6L2LU8DR497697,Nevins Hedlestone,Oceanside,California
JN1CV6APXCM716904,Agna Gallandre,Louisville,Kentucky
WA1WYBFE1AD883550,Judith Fogden,Tulsa,Oklahoma
5GADT13S252443792,Tammy Smuth,Winston Salem,North Carolina
WAU4GBFB1BN349334,Geneva Hightown,Flint,Michigan
WBAKB4C53CC998839,Valaria Gilson,Tacoma,Washington
1G6AE5S30E0147522,Rhody Van der Beek,Birmingham,Alabama
WAUJC58E75A243635,Ian Lidstone,Hollywood,Florida
1GD21ZCG0CZ896623,Christean Mynett,San Diego,California
WAULT68EX5A148940,Paloma Champ,Mansfield,Ohio
1N6AA0EC1FN699197,Germain Barlas,Boca Raton,Florida
WAUVC68E45A459417,Thorvald Jollands,Bronx,New York
JH4CU4F4XBC656631,Laurice Place,Fort Worth,Texas
ML32A3HJ3FH934395,Charline Exall,New Orleans,Louisiana
WAUWGAFB3AN649149,Davon Carabine,Memphis,Tennessee
JTHFE2C22A2766272,Ivory Diggin,Minneapolis,Minnesota
NM0GE9E75F1767417,Nomi Knappen,Birmingham,Alabama
W04GR5EC3B1258038,Quent Peltz,Long Beach,California
3D7JB1EK9BG816577,Samson McGinly,Wichita Falls,Texas
1GD21ZCG5CZ698605,Gretta Tassell,Miami,Florida
4USBT335X4L355281,Fulvia Pfeffer,Spokane,Washington
SAJWA4HA0EM620358,Lezley Dallewater,Macon,Georgia
KMHDB8AE1CU905652,Cassaundra Hinckesman,Richmond,Virginia
WAUFMAFC1EN087162,Alanah Dy,Wilmington,Delaware
1GT022CG0EF267271,Caroljean Arnaudon,Arlington,Virginia
SALVP1BG1FH776870,Chicky Staley,Saint Paul,Minnesota
WAUSG94F89N618493,Cleveland Ager,San Antonio,Texas
KM8JT3AB9CU126833,Cliff Waters,Sioux City,Iowa
19UUA75547A115640,Chryste Columbine,Chicago,Illinois
WAUGL78E37A295997,Freemon Pennycook,Canton,Ohio
1FT7W2A60EE796509,Manon Servante,Hialeah,Florida
WAUDH94F67N078208,Angie Lebrun,Lancaster,Pennsylvania
JTDJTUD36ED665461,Analise Markie,Colorado Springs,Colorado
WAUAC48H86K760877,Barbey Gaynesford,Boise,Idaho
WBA4A7C50FD824254,Ahmed Rubie,Rochester,New York
JH4CW2H61CC832965,Hermann Demcak,Orlando,Florida
WAUUL78EX6A570959,Nisse Schohier,Charleston,West Virginia
1D4SE6GT5BC167097,Vikki Aleksandrikin,Sacramento,California
KNDPB3AC0E7858361,Agnola Seery,San Antonio,Texas
WBAVC73558A078709,Towny Baldrick,Albany,New York
WAUED64B11N552858,Mureil Etock,Topeka,Kansas
1C3BC8EG1BN191457,Jacky Cust,Jacksonville,Florida
2G61T5S33F9036959,Shurlocke Pilpovic,Lancaster,Pennsylvania
2G61S5S39D9136421,Miles Ales,Orlando,Florida
2C3CCAHG9CH041517,Ranna Brewers,Alhambra,California
5GADT13S542732194,Tuesday Luckman,Huntington,West Virginia
SALFP2BG0FH047480,Kai Smaridge,Chicago,Illinois
1C3CDZBG4EN867609,Beauregard Jagson,Springfield,Missouri
2G4GZ5GV8B9683590,Brantley Mixter,Young America,Minnesota
KMHGC4DE0AU400102,Basil Dawkins,Tacoma,Washington
1G6EC12912B204248,Concordia Samudio,Fort Myers,Florida
1FADP5AU6FL688563,Sergio Clabburn,Des Moines,Iowa
JM1DE1HY5B0626777,Pollyanna Hubbuck,Tacoma,Washington
SALAB2D44CA571134,Mill D'Antonio,Decatur,Illinois
4USBU53517L513990,Byrom Danigel,Springfield,Illinois
JTHBE1D20F5131872,Perry Pahlsson,Biloxi,Mississippi
1FTMF1CW4AF714344,Abigail Connett,Jefferson City,Missouri
WAUDGBFL1CA446695,Rae Keel,Philadelphia,Pennsylvania
WBAPN7C54AA703190,Monte Udie,Augusta,Georgia
WAURGAFD5DN469271,Hamlin Taber,New Orleans,Louisiana
2G4GN5EX6F9232521,Kanya Meneer,Hartford,Connecticut
WVGEP9BP8FD580272,Tally Briatt,New York City,New York
WDCYC3HF2DX082034,Arnold Woolveridge,Denver,Colorado
WAUBH74FX8N603297,Elayne MacFall,New Orleans,Louisiana
WAUKH78E88A656105,Kirby Kofax,Gadsden,Alabama
SAJWA6FCXE8720699,Alene Alebrooke,Evansville,Indiana
SCBLF44J78C917343,Skyler Eminson,Bronx,New York
3VW1K7AJ6EM939007,Othilie Laetham,Santa Barbara,California
5N1AZ2MG6FN918128,Gilbert Strettle,New York City,New York
3VW517AT1EM850404,Petey Denty,Fort Worth,Texas
JN8AF5MR0ET140794,Anne-corinne Incogna,Monroe,Louisiana
2G4GS5EV4C9963015,Esme Hanhart,Richmond,Virginia
3C6TD5LT5CG209973,Ronny Simonyi,Birmingham,Alabama
3C3CFFCR9FT945232,Chev Fleeming,Dayton,Ohio
WAUFFAFC2DN386345,Dwight Tomney,Valdosta,Georgia
1G6DA8E58D0021835,Myrlene Benzie,Champaign,Illinois
WAUKFAFL3BA237557,Glen Twyning,Nashville,Tennessee
2T1BURHE2EC130120,Lynnelle Brinkman,Asheville,North Carolina
WA1DKBFP4BA038950,Beverley Gittings,Sacramento,California
JH4KC1F52FC059078,Evered Tommei,Salem,Oregon
WBAVM5C58FV336681,Carling Fludgate,Richmond,Virginia
TRUSX28N321628279,Luella Lohmeyer,New York City,New York
WBA1J7C56EV925195,Ruddy Aveline,Jackson,Mississippi
1G4HR57Y26U058870,Sonnie Rix,Houston,Texas
1G6AC5SXXD0269666,Angy Verbruggen,Memphis,Tennessee
WAUEH48H68K141085,Ellyn Bogie,Charlotte,North Carolina
WBA6A0C52DD893475,Bruno Ellicombe,Atlanta,Georgia
WAUKF68E15A683853,Wilma Margery,Denver,Colorado
WAUML54B84N066528,Mackenzie Rigden,Wilmington,Delaware
1FTWF3B59AE028643,Oralla Atherley,Charlotte,North Carolina
WAUVFAFH3DN511294,Alisa Brundrett,Washington,District of Columbia
JHMZE2H57AS602886,Noelani Aynsley,Grand Rapids,Michigan
1B3CB2HA2AD227931,Alfy Tallon,Akron,Ohio
5GAKRCKD8FJ016015,Fritz Billingsley,Baton Rouge,Louisiana
WAUMR44E17N996519,Julian Lelande,Canton,Ohio
1N6AF0KY8FN479296,Hercules Coleson,Saint Louis,Missouri
YV1902FH7B2762050,Israel Oxby,Albany,New York
WBA3R5C54EF364656,Regan Strutton,Chicago,Illinois
2G61P5S32E9569484,Damien Vlasin,Anderson,Indiana
WA1AY74L87D574577,Sharl Dodds,Houston,Texas
5TDBW5G16AS426809,Zelma Packe,Tulsa,Oklahoma
137ZA90341E656583,Ranice Jesper,Portsmouth,Virginia
JN8AZ2ND2F9030398,Avie Rolance,Montgomery,Alabama
WBAAV53491J405638,Robinia Piddocke,Glendale,California
1FMJK1FT0FE660890,Cedric Harradine,Largo,Florida
WBA3N5C51EF350614,Bertrand Schollar,Fort Worth,Texas
WUATNAFG6BN261358,Krissy Carslake,Independence,Missouri
WAUML44E04N019773,Elisha Sonschein,Phoenix,Arizona
WAU4GBFB7BN740424,Hymie Hursthouse,Memphis,Tennessee
19UUA65636A213964,Harman Guillart,Naples,Florida
5XYKT3A18CG541658,Kaylyn Walewicz,Cedar Rapids,Iowa
WBA3V9C54EP312277,Antoni Wadge,Minneapolis,Minnesota
5UXFA935X4L844746,Darla Raoux,San Jose,California
YV440MBD0F1644204,Tilda Gateman,Sunnyvale,California
1G6DM5EY4B0218661,Maggee Leatham,Atlanta,Georgia
WA1BV74L57D148228,Chrotoem Tersay,Minneapolis,Minnesota
WAUEF98E17A484951,Nisse Reyne,Dallas,Texas
1GKS1AE01BR775432,Stephine Keers,Newark,New Jersey
KMHGH4JH1CU281950,Deane Trime,Silver Spring,Maryland
1FTWF3B5XAE404315,Jerrilee Pogosian,New York City,New York
WAUJFAFHXDN064056,Kathy Aldwick,Washington,District of Columbia
WDDGF5EB0AR843736,Allie Olexa,Erie,Pennsylvania
WDDEJ7GB4BA694178,Jarrad Minifie,Cincinnati,Ohio
WVWAP7AN3EE275360,Reeva Hutcheon,Birmingham,Alabama
WBAFZ9C54CC072055,Howey Monro,Columbus,Georgia
1FTSX2A56AE955672,Rowe Gilluley,Sacramento,California
1C4RDJAG2CC548856,Marcie Kacheler,Jackson,Mississippi
WAUDK78T88A969731,Shelli Sante,Birmingham,Alabama
WBAVM1C50FV920131,Loria Itzakson,Greensboro,North Carolina
1D7RB1CP3AS442380,Guillermo Antonetti,Tacoma,Washington
1N6AD0CU0BC901844,Jacquenetta Karczinski,Saint Louis,Missouri
JTHBE5C25B5551243,Allard Noquet,Tempe,Arizona
5UXFG2C50E0595642,Richmond Gronno,Philadelphia,Pennsylvania
SAJWA4FB8CL207280,Madelaine Westcar,Lexington,Kentucky
WA1LGBFE8ED052218,Veronike Elland,Honolulu,Hawaii
3C3CFFJHXET119661,Anne-corinne Oxborrow,Reno,Nevada
WAUKF78E77A348749,Philomena Heady,Miami,Florida
1G6KD57Y18U028208,Annabela Sibray,Rochester,New York
JM1BL1K53B1020822,Leupold Baskwell,Charlotte,North Carolina
WBA3B1G55EN385917,Beverly Weathey,Harrisburg,Pennsylvania
1FTSW2A54AE576821,Carlene Stamp,Kansas City,Kansas
3D7LT2ET0BG476787,Cord Dovidian,Baltimore,Maryland
WBAUN1C55DV976703,Leelah Saphin,Dallas,Texas
WDDPK4HA2DF744026,Christal Sidon,Erie,Pennsylvania
WAUPFAFM5BA639093,Alfy McGuinness,Saint Louis,Missouri
2C3CCABG8CH876839,Marshall Oglethorpe,Gary,Indiana
5XYZG3AB5CG141231,Candra Morpeth,Dallas,Texas
19UUA656X5A278552,Aliza Dummigan,Buffalo,New York
1GYEK63N76R717276,Burke Mosconi,New York City,New York
WBAAZ33483K857649,Gypsy Torrecilla,Chicago,Illinois
1FMCU0F70DU535522,Joy Wyer,Denver,Colorado
WAULD64B34N896753,Torin Rogger,Jacksonville,Florida
WBAUN7C52DV447860,Claybourne Rosenfelder,Amarillo,Texas
WVWAP7AN9EE328921,Alf Knotton,Evansville,Indiana
TRUWT28N811910963,Astra Becerra,Austin,Texas
JTHDU5EFXC5062642,Wenonah Bruhnicke,Lexington,Kentucky
1GYS3HEF1DR599272,Kliment De Blasio,Orlando,Florida
WAUDV74F87N040427,Terrence Waymont,Tucson,Arizona
JH4CU2F45DC577794,Davina Benger,Miami Beach,Florida
2HNYD2H66CH435515,Dante Seefus,Columbus,Ohio
3C6TD5ETXCG771848,Giovanna Stoneman,Chattanooga,Tennessee
WBADX7C55DJ797811,Aline Valett,Topeka,Kansas
1G6DL5EV9A0093261,Alford Gowanlock,Jacksonville,Florida
1GYS3HEF0CR276197,Jabez Wilby,Sacramento,California
3D7JB1EPXAG566874,Katharina Simonutti,Portland,Oregon
2HNYD18624H458575,Jase Picker,Los Angeles,California
WA1YD54B84N158475,Erinn Yurocjhin,Lehigh Acres,Florida
KMHTC6AD6CU901956,Delphinia Salack,Anniston,Alabama
TRUWT28N511931477,Berna Markovic,San Francisco,California
WBAUN13529V583166,Wayne Fownes,Baton Rouge,Louisiana
1N4AL3AP9DC249769,Eleni Threlfall,Cincinnati,Ohio
WAUMFBFL9BN298158,Mauricio Danet,Tulsa,Oklahoma
SAJWA0HP0EM578920,Maddalena McCorry,West Palm Beach,Florida
WAULD54B43N746515,Karim Swyer-Sexey,Durham,North Carolina
1N6AA0CJ4EN020975,Lanie Finch,Bakersfield,California
JTMHY7AJ5A4068512,Kailey Kolushev,Baltimore,Maryland
JM1CW2CL7F0911979,Dniren Barbrook,Albuquerque,New Mexico
WAUDG74F49N154227,Kanya Hought,Memphis,Tennessee
19UYA42432A741796,Helen-elizabeth Ferrarotti,Amarillo,Texas
KMHGH4JHXDU537214,Sidoney Gooderridge,Winston Salem,North Carolina
WBADX1C52BE475629,Mariann Andreaccio,Detroit,Michigan
2T1BURHE1EC272880,Decca Swyne,Kalamazoo,Michigan
SAJWA0FA4AH354115,Garrick Cloake,El Paso,Texas
2C3CDYAG1EH329454,Bradley Erat,El Paso,Texas
5J6TF1H31CL802277,Jemimah Elvin,San Francisco,California
WA1AV94L77D682399,Franni Soigne,Alexandria,Virginia
JA32X8HWXEU038555,Goddart Lyokhin,Flushing,New York
1D4PU2GK4AW996023,Stu Sheringham,Dallas,Texas
1G6DS1E31C0205595,Cliff Rojahn,Charlotte,North Carolina
1G6YX36D385248030,Blanche Jeacock,Staten Island,New York
3C63DRNL2CG851054,Waly Andrewartha,Chicago,Illinois
1G6AD5SX4D0999179,Giacomo Eneas,Jefferson City,Missouri
19UUA9F23CA226352,Claus Sazio,Glendale,Arizona
SCFLDCFPXEG984815,Britteny Leahy,Garden Grove,California
JTHHE5BC2F5702517,Nisse Whybrow,Jamaica,New York
SCFFDCCD2BG420515,Karlis Winfield,Washington,District of Columbia
WBA3A5G56CN695209,Michaella Aldersey,Burbank,California
3C4PDDEG0ET751531,West McNay,San Antonio,Texas
5TDDK3DC5DS937222,Elia Sanson,Juneau,Alaska
WBAXG5C52CD638999,Marena Rishworth,Dayton,Ohio
WBA3N5C58EF168912,Wylie Fellow,Milwaukee,Wisconsin
3VW467ATXDM284710,Chrystel Depper,New York City,New York
1D4PU2GK5AW600956,Ansley Keniwell,Philadelphia,Pennsylvania
2V4RW3D14AR169929,Eran Mathonnet,Minneapolis,Minnesota
JM3KE2BE8D0098612,Rochell Huntriss,High Point,North Carolina
KNDKG3A27A7638289,Celka Klimushev,New York City,New York
19XFA1E33BE163039,Mada Harnell,Dayton,Ohio
5N1AA0ND8EN461241,Ibrahim Igounet,Memphis,Tennessee
JH4DC53852C344723,Lew Scullin,Milwaukee,Wisconsin
WAUCFAFH6BN521337,Marris Tilliards,Little Rock,Arkansas
2LMDJ6JK4DB998143,Chrissie Pretor,Houston,Texas
2C3CCASG8FH307025,Tommy Hilland,Jersey City,New Jersey
3GYFNEE33CS816302,Skipper Stovine,Detroit,Michigan
SAJWA4EC8CM947495,Dunc Carnihan,Philadelphia,Pennsylvania
WAUKFBFL4DA704137,Elvira Staines,Pueblo,Colorado
3GYT4NEF8BG867540,Betsy Piatkow,Philadelphia,Pennsylvania
WAULC68E02A105106,Pierette Fawks,Pittsburgh,Pennsylvania
1C4RDHAGXDC373265,Augusto Iorns,Indianapolis,Indiana
WBAFR9C58DC287665,Portia Robson,Santa Monica,California
1G4GF5G37DF739150,Karlik Dabbs,Little Rock,Arkansas
3D73Y3CL2BG429321,Doyle Deverose,Evansville,Indiana
3C4PDCAB5FT959331,Merill Burchess,Washington,District of Columbia
3GYFNGE30ES807779,Kaylyn Menendes,Fresno,California
JTDKN3DP4C3518750,Florentia Lorenzetto,Charlotte,North Carolina
2C3CCAAGXCH705110,Mabel Waller-Bridge,Kansas City,Missouri
1GKS1KE03DR648996,Darya Skegg,Salt Lake City,Utah
1GYS3DEF0ER572106,Montgomery Lease,Atlanta,Georgia
1GYFC23249R361342,Uta Merveille,Boston,Massachusetts
5BZBF0AA4FN309786,Kim Slevin,Albuquerque,New Mexico
JH4DB75601S910429,Allene Czaja,Allentown,Pennsylvania
WAUEFAFL6CA111692,Rollo Ingles,Oklahoma City,Oklahoma
SCBFT7ZA8DC977884,Ruggiero Clist,Wilmington,Delaware
1G6YV36AX65992118,Caresse Dupey,Jamaica,New York
WBAKP9C52FD920288,Selinda Kersaw,Oxnard,California
5GADT13S862148696,Anna Comiskey,Garland,Texas
WA1EV74L48D654079,Obed Riveles,Oakland,California
YV4852CZ4A1086321,Tybie Yetton,Waterbury,Connecticut
19XFB4F21DE161281,Menard Searston,Huntsville,Alabama
KNALW4D49F6335289,Jenica Redparth,El Paso,Texas
3D73Y4EL9BG077373,Annecorinne Littler,New York City,New York
WA1WKBFP5AA912648,Briana Runnicles,Evansville,Indiana
19UYA42403A729204,Abbye Spinnace,Bellevue,Washington
SCBEC9ZA1FC431602,Shirlee Brugden,Reston,Virginia
5N1AN0NW5DN418643,Borden Sproston,New York City,New York
WAUWFAFH8DN635176,Spense Hrynczyk,Asheville,North Carolina
2C3CDXGJ5FH551316,Amalea Taffs,Mobile,Alabama
2T1BURHE8EC214779,Kennan Driuzzi,Norwalk,Connecticut
SCBBR93W98C748164,Devina Clines,Lubbock,Texas
5GAKRBED8BJ832366,Myrtie Kinsella,Lakeland,Florida
1N6AD0CW2EN310991,Lanny Stokey,Little Rock,Arkansas
3C3CFFDR3FT227061,Abbie Goakes,Dayton,Ohio
1D4PT4GX2BW636275,Eddy Yakobowitz,Henderson,Nevada
5BZAF0AAXFN338947,Harmonia Laughrey,Dayton,Ohio
4T1BK3DB3BU447106,Serene Penswick,Birmingham,Alabama
JN1AZ4EH0DM463614,Caralie Caplis,Cincinnati,Ohio
3FA6P0LU7DR798898,Verla De Filippi,Bronx,New York
