mail	montant	date	heure
sheakey17@wikia.com	$604.00	03/02/21	13:54:01
slisamore18@uiuc.edu	$107.87	22/01/21	11:56:54
mrosewarne19@tripadvisor.com	$89.08	25/02/21	17:13:14
jbrabant1a@mashable.com	$293.64	09/03/21	09:23:54
mvolkes1b@techcrunch.com	$412.07	11/03/21	11:06:19
kghilardini1c@craigslist.org	$213.61	22/01/21	09:38:51
gbryan1d@about.me	$289.57	02/04/21	23:00:18
sproudlock1e@wisc.edu	$402.65	18/01/21	10:31:06
ethorbon1f@altervista.org	$124.29	11/02/21	17:58:49
amalenfant1g@toplist.cz	$401.49	21/01/21	20:48:49
hwoodland1h@amazon.co.jp	$558.04	26/02/21	23:16:40
kkingsly1i@ehow.com	$623.32	21/01/21	08:05:31
rgarrad1j@rakuten.co.jp	$198.80	25/03/21	16:05:54
jbartoleyn1k@squarespace.com	$120.70	16/02/21	08:23:51
ckunzler1l@google.com.hk	$272.93	28/02/21	20:50:27
kblasetti1m@china.com.cn	$739.17	02/01/21	08:32:59
gbottinelli1n@jalbum.net	$147.76	29/01/21	11:17:46
jrodolphe1o@fc2.com	$3.92	16/03/21	06:00:04
scavanaugh1p@g.co	$320.31	12/02/21	17:04:27
acalderonello1q@mapquest.com	$165.25	07/01/21	11:27:54
eoffin1r@marriott.com	$387.66	27/01/21	18:52:01
jpote1s@army.mil	$149.96	17/02/21	19:50:02
okinworthy1t@shareasale.com	$345.30	16/03/21	07:37:56
mjerrome1u@noaa.gov	$345.28	14/02/21	11:01:47
vilyuchyov1v@cnn.com	$319.64	09/01/21	16:13:50
awillerton1w@webeden.co.uk	$253.34	16/02/21	13:24:25
estuchbury1x@discovery.com	$594.82	16/03/21	14:25:49
emusgrave1y@sogou.com	$734.44	21/02/21	15:17:21
croston1z@liveinternet.ru	$16.80	07/02/21	16:40:14
apina20@nps.gov	$712.10	09/01/21	04:38:48
lfotherby21@lulu.com	$747.84	01/03/21	17:17:46
cburd22@bandcamp.com	$790.62	21/03/21	15:50:06
lglason23@eepurl.com	$307.07	26/03/21	12:22:43
odubbin24@virginia.edu	$738.23	26/01/21	10:00:42
aslegg25@webs.com	$165.25	28/02/21	08:52:17
cnorris26@newsvine.com	$613.26	25/01/21	18:46:52
rhasslocher27@slashdot.org	$497.74	30/01/21	08:01:27
dduckerin28@cloudflare.com	$649.58	16/03/21	07:52:13
nantonietti29@histats.com	$119.61	06/02/21	11:00:43
cklausen2a@baidu.com	$289.04	26/01/21	10:10:45
mgristhwaite2b@state.tx.us	$497.06	16/02/21	18:09:44
abartolomucci2c@infoseek.co.jp	$326.38	05/03/21	07:07:34
lordemann2d@cisco.com	$401.55	10/02/21	17:51:02
mlittlefield2e@csmonitor.com	$250.76	06/02/21	08:20:36
cpiecha2f@vimeo.com	$441.60	17/02/21	19:30:33
aberthon2g@de.vu	$735.36	12/03/21	18:52:49
ldrysdall2h@shop-pro.jp	$354.24	02/01/21	06:31:12
sbriston2i@ovh.net	$718.84	10/03/21	23:57:37
mstoodale2j@whitehouse.gov	$778.74	26/01/21	14:14:52
buwins2k@vinaora.com	$47.08	09/04/21	07:09:18
imariel2l@blogs.com	$195.90	10/03/21	13:59:33
pkeilty2m@mapy.cz	$371.15	25/03/21	23:21:13
mdowbakin2n@springer.com	$198.78	04/04/21	17:46:36
yhiggen2o@tinyurl.com	$570.68	28/02/21	08:44:12
thollow2p@instagram.com	$295.53	27/01/21	09:52:02
jbettleson2q@themeforest.net	$269.30	04/01/21	07:15:22
ctynnan2r@epa.gov	$121.52	06/03/21	23:52:21
cwickersham2s@shareasale.com	$131.93	09/03/21	06:07:05
mwillsmore2t@ustream.tv	$118.22	15/01/21	07:55:18
blampkin2u@bandcamp.com	$5.33	16/01/21	21:33:53
ofeighney2v@sakura.ne.jp	$46.22	05/02/21	07:56:59
pturpin2w@addtoany.com	$547.11	24/03/21	12:09:31
fpicardo2x@intel.com	$53.25	18/03/21	10:52:03
mbraisted2y@census.gov	$459.98	02/02/21	18:52:49
rkeems2z@google.pl	$659.93	24/02/21	10:24:52
acliffe30@weibo.com	$670.50	11/02/21	12:44:49
groyste31@irs.gov	$547.61	27/01/21	07:24:00
mkobierski32@ebay.com	$692.74	09/01/21	13:42:44
spollastrone33@amazon.com	$665.93	25/02/21	07:12:48
rcraister34@answers.com	$593.08	13/02/21	19:09:49
etimlin35@amazon.de	$381.78	11/02/21	20:04:41
dgettone36@epa.gov	$796.54	11/01/21	15:57:15
jdrakeford37@weibo.com	$765.10	07/01/21	09:41:14
areinbech38@so-net.ne.jp	$89.85	04/04/21	15:19:28
lshipway39@ning.com	$443.67	27/01/21	09:26:08
rantoniou3a@timesonline.co.uk	$633.24	02/03/21	17:43:00
sblackburne3b@imgur.com	$223.34	01/02/21	20:47:50
spoytress3c@canalblog.com	$738.57	19/02/21	16:56:29
keastup3d@plala.or.jp	$87.72	31/01/21	21:31:23
smattei3e@cdbaby.com	$175.25	11/01/21	12:11:00
ahessenthaler3f@google.nl	$129.92	22/01/21	12:29:09
ounitt3g@oaic.gov.au	$332.61	31/01/21	15:57:06
akinloch3h@sphinn.com	$218.30	04/01/21	05:53:07
abynold3i@craigslist.org	$174.02	22/02/21	15:02:30
nsunock3j@github.io	$152.40	28/02/21	14:29:35
ybathowe3k@youku.com	$721.88	10/03/21	16:24:17
mcorpe3l@home.pl	$735.01	09/02/21	20:48:19
dweinberg3m@economist.com	$724.41	22/01/21	07:09:44
hbenger3n@cdbaby.com	$189.42	17/03/21	14:31:45
aadamo3o@cafepress.com	$656.68	08/03/21	13:48:01
nhalifax3p@usnews.com	$43.45	14/03/21	21:36:55
jprothero3q@themeforest.net	$172.79	02/02/21	08:32:34
aorris3r@paginegialle.it	$435.41	15/01/21	18:51:59
hvelez3s@yahoo.co.jp	$605.58	22/02/21	20:13:28
mklimushev3t@mit.edu	$688.22	03/01/21	20:55:47
bgile3u@aboutads.info	$685.61	05/01/21	21:36:28
rdauncey3v@moonfruit.com	$179.89	19/02/21	20:08:29
jprose3w@360.cn	$78.11	10/01/21	07:22:51
rbirtley3x@printfriendly.com	$133.08	10/01/21	06:51:35
ctaveriner3y@whitehouse.gov	$337.66	24/01/21	10:53:11
cshoosmith3z@fda.gov	$463.53	12/01/21	05:58:22
gkorb40@admin.ch	$712.08	01/02/21	20:36:50
smorstatt41@lycos.com	$686.56	19/02/21	09:01:33
mwicklin42@earthlink.net	$589.77	12/03/21	15:54:29
mlepine43@moonfruit.com	$207.93	04/03/21	14:29:23
mgarnsworth44@nydailynews.com	$128.39	18/02/21	04:46:48
rvinas45@squarespace.com	$380.18	29/03/21	08:13:20
cmateev46@exblog.jp	$268.12	06/02/21	10:48:59
awarmisham47@unblog.fr	$62.44	07/03/21	15:03:46
abirtwistle48@vistaprint.com	$719.66	25/03/21	21:32:34
mcleminson49@amazon.de	$581.92	23/02/21	20:19:01
mtrewartha4a@census.gov	$259.40	11/03/21	20:29:17
mhawkeswood4b@twitter.com	$176.32	27/03/21	10:27:40
xhawley4c@answers.com	$408.61	27/03/21	20:35:08
zdewberry4d@virginia.edu	$184.84	06/03/21	19:16:01
dconsadine4e@salon.com	$270.98	17/01/21	10:07:34
msullivan4f@bandcamp.com	$460.51	15/02/21	12:53:59
lruppeli4g@twitter.com	$596.31	02/02/21	10:23:29
eraimbauld4h@blogger.com	$769.14	30/03/21	23:13:34
wgrindall4i@ft.com	$722.07	06/04/21	18:41:09
abaroc4j@huffingtonpost.com	$738.45	04/04/21	04:44:06
myewdall4k@squidoo.com	$754.42	02/01/21	10:36:34
rkiddie4l@epa.gov	$193.97	02/03/21	23:29:34
rbuckberry4m@163.com	$705.86	04/01/21	08:55:19
brosenfrucht4n@ebay.com	$379.66	16/02/21	23:28:13
jgirth4o@wordpress.com	$76.48	06/02/21	10:18:24
lyushmanov4p@shutterfly.com	$194.74	07/04/21	19:22:16
criceards4q@opera.com	$614.66	07/02/21	14:42:40
psommerton4r@yahoo.co.jp	$99.18	14/03/21	11:11:54
sfayne4s@weebly.com	$384.39	20/03/21	04:34:35
tmccully4t@t.co	$541.39	08/02/21	06:49:40
ddeancywillis4u@opera.com	$355.50	14/01/21	10:18:56
rlaviss4v@xrea.com	$688.53	08/01/21	20:49:51
blouth4w@netlog.com	$291.47	12/03/21	18:58:23
gstarbuck4x@tripod.com	$306.01	17/01/21	04:45:23
awaddams4y@si.edu	$601.88	04/01/21	14:46:38
kaudley4z@bbc.co.uk	$286.83	19/03/21	15:22:02
mbeedle50@wufoo.com	$28.03	04/02/21	12:43:30
jluxford51@google.cn	$735.34	11/03/21	19:41:11
byoell52@google.ca	$201.45	23/01/21	10:01:52
kfleote53@wikipedia.org	$153.01	23/03/21	07:28:27
ftreppas54@dell.com	$745.07	31/03/21	20:12:20
fmckniely55@vimeo.com	$480.78	28/03/21	17:05:48
egrund56@tumblr.com	$471.46	24/01/21	05:53:16
cmaruska57@nih.gov	$315.47	25/02/21	18:33:10
bludlamme58@scribd.com	$693.76	12/01/21	23:17:42
jdorcey59@amazon.com	$74.37	12/03/21	21:56:48
ksterrie5a@yale.edu	$539.77	14/03/21	10:26:34
rklulicek5b@shop-pro.jp	$345.30	06/03/21	12:37:20
dremirez5c@livejournal.com	$77.16	03/04/21	10:14:47
respinazo5d@businessinsider.com	$785.06	29/01/21	21:38:41
vgillian5e@msn.com	$350.65	28/01/21	18:44:05
cgawen5f@rakuten.co.jp	$79.94	18/01/21	04:45:56
ostroud5g@pinterest.com	$591.31	09/02/21	20:47:38
hcopp5h@tiny.cc	$91.99	28/01/21	05:38:32
rcoultas5i@paginegialle.it	$416.56	09/03/21	20:55:50
jnavan5j@usa.gov	$181.33	18/03/21	23:09:16
zglanfield5k@nature.com	$405.82	07/01/21	10:49:42
nballefant5l@hatena.ne.jp	$131.06	22/01/21	08:37:46
hnewcombe5m@themeforest.net	$740.40	03/04/21	19:28:34
tmckenzie5n@goo.ne.jp	$373.88	04/03/21	23:57:12
lbedwell5o@latimes.com	$485.16	18/02/21	04:05:28
malelsandrowicz5p@yelp.com	$762.70	23/02/21	18:23:52
cchestnut5q@answers.com	$145.55	26/02/21	21:58:07
bwebland5r@issuu.com	$642.30	02/01/21	23:27:02
asimecek5s@tmall.com	$683.39	04/01/21	23:14:12
rservice5t@ftc.gov	$592.55	27/03/21	07:37:35
ovarah5u@who.int	$397.30	19/01/21	10:20:53
dspritt5v@sfgate.com	$708.10	23/02/21	05:04:36
jstroband5w@dailymail.co.uk	$728.04	24/02/21	08:46:04
sbescoby5x@google.com.hk	$310.49	26/01/21	07:32:28
zludman5y@ezinearticles.com	$404.00	10/02/21	10:22:08
barnaud5z@oracle.com	$303.21	19/03/21	08:49:24
dstuer60@shutterfly.com	$460.51	08/01/21	12:08:10
rlissandrini61@sfgate.com	$714.84	11/01/21	23:17:40
wmaltster62@cdbaby.com	$781.25	15/02/21	23:07:04
ttrengrove63@newyorker.com	$54.10	16/03/21	07:26:38
mkytley64@about.com	$707.48	13/02/21	11:18:28
sbeazey65@ocn.ne.jp	$145.12	24/01/21	07:31:18
efowlds66@telegraph.co.uk	$622.22	31/03/21	23:44:15
acowper67@goodreads.com	$266.29	01/04/21	12:08:10
lwillows68@abc.net.au	$211.21	03/04/21	22:30:51
cskayman69@ihg.com	$666.94	27/02/21	15:34:05
bduckhouse6a@ning.com	$702.20	28/01/21	21:46:58
bboomes6b@state.tx.us	$184.80	16/01/21	16:59:01
rskillitt6c@freewebs.com	$472.15	19/02/21	19:19:32
rduckering6d@liveinternet.ru	$648.30	14/03/21	05:40:51
crubinov6e@hud.gov	$679.40	01/03/21	05:26:43
kbordessa6f@go.com	$524.52	04/02/21	22:42:27
agrigoroni6g@aboutads.info	$694.79	22/03/21	19:56:33
ldrayton6h@ihg.com	$23.71	05/02/21	21:23:41
anicholls6i@zdnet.com	$248.31	07/04/21	17:36:40
jbankhurst6j@techcrunch.com	$634.98	15/01/21	17:51:33
cdensumbe6k@ebay.co.uk	$626.08	06/01/21	08:50:46
spiccard6l@netlog.com	$165.22	01/02/21	08:40:44
dgayton6m@msu.edu	$776.62	03/01/21	12:48:41
jmantione6n@google.co.jp	$105.99	28/03/21	08:51:52
swisden6o@w3.org	$352.51	31/03/21	17:39:42
mdavidowsky6p@epa.gov	$594.53	18/02/21	21:21:59
adavidek6q@vk.com	$637.31	16/02/21	11:48:19
amcbratney6r@people.com.cn	$103.72	31/01/21	04:51:45
aarundel6s@chicagotribune.com	$77.79	17/03/21	13:24:03
psummerbell6t@skyrock.com	$795.62	05/02/21	23:38:58
rquirk6u@reference.com	$176.00	19/02/21	05:41:16
twhoolehan6v@unc.edu	$725.45	15/02/21	18:37:25
gellin6w@oaic.gov.au	$122.60	27/01/21	20:58:03
mniles6x@apache.org	$168.06	15/01/21	18:25:39
cvial6y@ameblo.jp	$752.62	12/03/21	23:04:38
bsighart6z@amazon.de	$643.40	06/04/21	08:03:50
hrolling70@wp.com	$797.73	18/01/21	09:55:37
rcalifornia71@jimdo.com	$266.61	17/01/21	15:39:59
adelong72@miibeian.gov.cn	$729.51	07/04/21	18:59:24
bospillane73@cnn.com	$57.45	05/04/21	20:00:12
cmorgon74@chicagotribune.com	$295.88	24/02/21	15:50:21
gfell75@washington.edu	$32.13	26/02/21	20:43:18
jratcliff76@live.com	$500.79	02/02/21	08:56:16
kovendale77@senate.gov	$194.97	20/03/21	09:47:24
jveevers78@scientificamerican.com	$185.97	19/02/21	14:10:51
bgreensite79@intel.com	$527.54	13/03/21	18:22:53
borowane7a@gravatar.com	$611.13	26/03/21	07:21:11
zmander7b@senate.gov	$505.13	11/03/21	13:43:44
cdawney7c@opera.com	$717.11	26/02/21	14:25:04
ehobben7d@typepad.com	$359.47	28/02/21	12:42:14
dgrenshiels7e@nytimes.com	$635.86	11/03/21	06:27:42
everlinden7f@about.com	$48.86	30/01/21	16:47:34
sblanking7g@foxnews.com	$408.43	05/01/21	15:28:16
jsneller7h@newyorker.com	$579.77	04/02/21	10:50:19
oolehane7i@vimeo.com	$595.25	06/03/21	22:03:20
mgabey7j@hhs.gov	$299.86	23/02/21	22:23:40
wedgcombe7k@bluehost.com	$723.91	16/02/21	12:43:03
jtonner7l@xrea.com	$452.44	31/01/21	20:11:30
ahinsche7m@e-recht24.de	$275.72	17/03/21	09:45:44
gtyce7n@technorati.com	$196.68	04/02/21	04:15:12
nworsfield7o@elegantthemes.com	$739.35	02/02/21	12:56:16
jpagelsen7p@4shared.com	$355.28	23/02/21	06:11:17
bfewell7q@example.com	$330.53	03/02/21	22:50:08
lguillotin7r@smh.com.au	$400.05	18/01/21	07:34:04
pdacks7s@dyndns.org	$153.86	23/02/21	09:51:36
sstandidge7t@wix.com	$278.48	04/04/21	17:34:29
dshernock7u@goodreads.com	$163.28	28/02/21	15:17:57
adominichelli7v@taobao.com	$538.67	14/01/21	13:48:45
chrihorovich7w@toplist.cz	$474.37	14/01/21	10:07:13
hstait7x@drupal.org	$530.34	21/01/21	05:12:55
gdemitri7y@gizmodo.com	$119.34	23/03/21	09:57:28
wcrocetti7z@google.co.uk	$543.94	24/02/21	20:04:40
wbramhill80@newyorker.com	$299.18	10/01/21	09:09:04
pyuryshev81@apple.com	$745.58	09/02/21	08:44:17
eisaaksohn82@tinypic.com	$74.54	31/01/21	16:11:41
cforlonge83@fotki.com	$545.96	07/01/21	21:36:52
chosten84@weather.com	$455.22	03/03/21	21:02:56
nalvis85@weebly.com	$431.87	02/04/21	22:52:22
fwalder86@mediafire.com	$250.04	17/03/21	22:06:02
ocampione87@ning.com	$552.60	13/01/21	14:15:46
brosser88@techcrunch.com	$220.77	02/01/21	23:28:17
kstaite89@ifeng.com	$676.07	23/01/21	19:03:09
vtejada8a@hubpages.com	$300.10	12/01/21	05:44:26
mokenden8b@npr.org	$736.87	04/04/21	08:19:33
tmccreadie8c@edublogs.org	$677.72	06/04/21	18:59:11
glamprey8d@wikipedia.org	$684.53	07/02/21	19:13:38
adamato8e@upenn.edu	$225.05	17/02/21	09:59:32
dcastenda8f@blogtalkradio.com	$780.40	14/02/21	07:47:27
emilch8g@imdb.com	$749.40	28/03/21	20:34:52
egivens8h@geocities.jp	$562.92	31/01/21	11:33:30
dsnoddon8i@webeden.co.uk	$349.88	12/02/21	16:37:20
kyeskov8j@behance.net	$407.44	27/03/21	23:19:09
fbirch8k@usda.gov	$46.93	30/01/21	11:25:00
dhaggath8l@1und1.de	$470.22	16/03/21	13:08:29
moret8m@alibaba.com	$700.60	14/03/21	18:50:48
amorford8n@php.net	$111.83	21/02/21	23:54:53
csidey8o@dyndns.org	$664.45	30/03/21	16:44:57
lhuleatt8p@deliciousdays.com	$581.96	06/01/21	06:49:56
htwinbrow8q@ft.com	$214.58	17/02/21	23:13:04
sspeachley8r@geocities.com	$281.80	18/01/21	05:22:04
ttyson8s@wix.com	$679.66	11/01/21	17:43:22
fdesorts8t@sohu.com	$295.63	20/02/21	23:01:24
pfoynes8u@shutterfly.com	$69.24	27/02/21	19:42:52
teustanch8v@lulu.com	$339.92	19/02/21	14:21:44
lgiovannoni8w@skyrock.com	$63.28	10/01/21	05:42:24
dlarrosa8x@yelp.com	$654.53	01/04/21	06:17:47
bogarmen8y@blogspot.com	$222.19	09/01/21	14:51:14
lupham8z@yale.edu	$782.52	01/03/21	09:43:11
lsauven90@umich.edu	$218.62	18/01/21	12:05:49
ythies91@histats.com	$9.88	25/01/21	11:00:39
qwittman92@cbc.ca	$540.25	29/03/21	18:34:18
sballendine93@github.io	$586.00	07/04/21	16:27:01
bdeshon94@china.com.cn	$36.95	27/03/21	14:13:35
bskotcher95@marriott.com	$790.96	05/01/21	23:58:52
rgerhartz96@ask.com	$605.52	30/01/21	15:53:55
esperrett97@mapy.cz	$133.61	28/03/21	17:21:04
rbloomfield98@eventbrite.com	$487.88	25/01/21	10:23:54
tscrauniage99@sina.com.cn	$145.78	07/03/21	05:49:33
avearnals9a@dropbox.com	$452.93	21/02/21	11:46:29
bcocke9b@about.com	$261.46	10/03/21	09:27:30
bbussens9c@typepad.com	$120.04	01/03/21	19:21:44
jpavis9d@independent.co.uk	$793.48	21/03/21	17:19:33
cgammidge9e@pen.io	$250.01	11/02/21	09:55:03
ymeikle9f@taobao.com	$605.75	14/03/21	05:36:42
thughs9g@webmd.com	$185.29	06/02/21	16:50:24
rpohls9h@flavors.me	$587.26	20/01/21	04:05:41
bcessford9i@china.com.cn	$602.05	03/03/21	07:26:01
mleven9j@virginia.edu	$549.81	04/01/21	07:02:35
bdeboick9k@geocities.jp	$609.82	18/03/21	12:18:33
vcalcut9l@microsoft.com	$658.94	08/01/21	05:28:25
rvondruska9m@vinaora.com	$615.64	09/02/21	13:54:10
bcolenutt9n@desdev.cn	$686.44	13/01/21	10:45:14
bleamon9o@mtv.com	$338.32	11/02/21	09:33:31
nelland9p@altervista.org	$624.15	20/02/21	04:12:16
bbartolomivis9q@msn.com	$796.49	08/04/21	21:21:45
gfrere9r@amazon.com	$701.01	08/04/21	06:51:38
lchinnock9s@typepad.com	$23.11	10/03/21	13:35:34
icaulfield9t@house.gov	$783.29	21/03/21	06:28:36
laudsley9u@eventbrite.com	$318.30	11/03/21	19:08:32
bwernham9v@e-recht24.de	$283.80	31/01/21	06:29:49
iloude9w@opensource.org	$349.51	19/01/21	18:07:12
kwarhurst9x@comsenz.com	$702.90	18/03/21	23:01:14
nwerrit9y@un.org	$369.99	31/01/21	10:02:37
ehavercroft9z@list-manage.com	$249.05	06/02/21	14:38:17
cchallenora0@unblog.fr	$158.46	17/01/21	04:49:49
feddowisa1@vkontakte.ru	$134.35	10/01/21	08:15:55
mluciania2@mediafire.com	$508.73	12/01/21	14:45:21
bmackalla3@hubpages.com	$30.72	21/01/21	05:26:59
nnaresa4@wix.com	$724.11	10/02/21	22:55:36
ibrewinsa5@usatoday.com	$402.11	16/01/21	21:47:42
kdeernessa6@ftc.gov	$735.25	12/01/21	06:03:53
gechaliea7@diigo.com	$486.48	06/01/21	07:53:35
jmelbya8@behance.net	$415.09	08/04/21	12:12:05
ksellana9@sciencedaily.com	$744.21	16/02/21	09:45:43
jcapeyaa@wikimedia.org	$726.99	16/02/21	14:27:15
lcastroab@hhs.gov	$533.80	11/02/21	22:00:20
wnaptineac@uiuc.edu	$799.85	13/01/21	23:17:11
mprantlad@patch.com	$211.59	10/01/21	15:12:45
eruppertzae@wunderground.com	$760.35	03/03/21	12:58:16
btrottonaf@sfgate.com	$715.35	15/03/21	10:55:06
csollnerag@weather.com	$67.56	20/03/21	17:53:37
rriddlerah@t-online.de	$510.12	08/01/21	10:01:43
gkersleyai@salon.com	$665.89	04/03/21	21:12:13
bdartnallaj@si.edu	$500.70	28/01/21	11:52:51
tbottrillak@weebly.com	$214.19	16/02/21	11:31:57
pbillsonal@wiley.com	$560.24	09/04/21	08:02:19
zsollomam@buzzfeed.com	$140.60	04/04/21	09:23:52
clutenan@cocolog-nifty.com	$71.46	19/02/21	07:31:21
scritchleyao@w3.org	$262.18	04/02/21	12:02:15
rjosifovicap@spotify.com	$479.34	05/01/21	07:17:40
mhallaganaq@google.it	$543.76	29/03/21	19:32:58
sallwoodar@devhub.com	$152.32	22/03/21	09:08:27
fkilohas@chicagotribune.com	$123.01	17/01/21	16:12:43
jzanettoat@skyrock.com	$370.82	25/01/21	10:01:36
gmitrikhinau@topsy.com	$593.33	07/03/21	16:18:34
dcuredaleav@photobucket.com	$34.64	08/03/21	10:07:14
wkinningleyaw@histats.com	$493.59	02/02/21	05:03:44
gstenetax@acquirethisname.com	$780.86	15/02/21	05:06:35
spobjayay@uiuc.edu	$338.40	17/01/21	08:27:32
hamsbergeraz@dailymail.co.uk	$538.01	13/01/21	11:03:30
arowenb0@tamu.edu	$453.06	17/01/21	17:47:41
pfortescueb1@nyu.edu	$105.71	07/03/21	17:17:48
kfarrawayb2@noaa.gov	$678.54	07/02/21	05:50:34
aughib3@arstechnica.com	$724.56	19/03/21	10:39:05
hlinggardb4@google.es	$792.16	13/01/21	14:15:49
pbellyb5@networksolutions.com	$174.57	26/03/21	18:46:44
cpleadenb6@pagesperso-orange.fr	$726.53	12/03/21	23:37:17
smasseb7@newyorker.com	$761.75	01/02/21	16:59:44
mramelb8@earthlink.net	$369.96	21/01/21	19:33:08
lstirripb9@last.fm	$406.18	24/03/21	16:06:23
gobeyba@com.com	$145.98	19/02/21	08:47:35
jscarlanbb@theguardian.com	$799.14	29/01/21	04:03:28
jklaaasenbc@sphinn.com	$778.17	09/02/21	08:28:14
ddrainsbd@nbcnews.com	$127.34	27/03/21	11:07:05
klouisotbe@usa.gov	$113.03	03/03/21	16:32:54
lengehambf@blinklist.com	$607.43	13/03/21	17:51:12
dhuskissonbg@ucoz.ru	$689.71	09/04/21	19:16:49
wmoorheadbh@spotify.com	$271.59	20/02/21	16:42:00
useagerbi@altervista.org	$6.08	04/04/21	10:25:02
fraynorbj@businesswire.com	$605.31	04/04/21	05:46:25
idavidsohnbk@free.fr	$455.58	18/01/21	10:11:17
bredsellbl@t.co	$475.95	04/04/21	23:36:19
fatmorebm@msu.edu	$198.44	04/01/21	19:09:48
ttroakbn@mashable.com	$76.05	09/03/21	21:06:29
icramondbo@dyndns.org	$663.56	07/03/21	04:46:04
nandreuccibp@msu.edu	$361.89	09/02/21	04:02:59
cborwickbq@hp.com	$592.30	01/04/21	07:41:09
hbrissardbr@buzzfeed.com	$173.80	16/01/21	06:57:13
smarshalleckbs@unesco.org	$547.79	12/01/21	10:11:13
isealandbt@statcounter.com	$602.76	24/02/21	07:25:28
gbiggenbu@discuz.net	$131.18	02/04/21	04:20:56
ddonaghybv@cisco.com	$179.95	29/01/21	21:19:16
amaymanbw@parallels.com	$641.98	13/01/21	16:10:35
omcjerrowbx@tamu.edu	$129.18	27/01/21	14:31:26
ogaytonby@skype.com	$479.60	27/01/21	13:30:38
bemenybz@fastcompany.com	$119.44	20/02/21	22:37:15
ibarnewallc0@qq.com	$4.78	30/01/21	09:05:00
dheijnenc1@histats.com	$657.26	29/01/21	20:39:50
otaffeec2@delicious.com	$112.13	03/01/21	19:09:34
nbowlingc3@elpais.com	$357.48	29/01/21	11:13:23
aemmac4@squarespace.com	$165.79	13/01/21	11:14:58
fmagnec5@deliciousdays.com	$278.71	02/04/21	09:53:15
lczadlac6@japanpost.jp	$754.06	30/03/21	18:30:43
iflintuffc7@myspace.com	$61.56	31/01/21	14:07:42
rrivlinc8@liveinternet.ru	$436.67	22/01/21	04:02:52
vmcphersonc9@telegraph.co.uk	$797.28	23/02/21	04:43:47
rvreibergca@networksolutions.com	$753.45	04/01/21	21:43:35
rtrollopecb@linkedin.com	$389.73	10/03/21	10:35:29
scampanycc@privacy.gov.au	$153.47	09/02/21	17:05:29
rfraycd@blogspot.com	$602.17	17/03/21	20:15:32
sroelsce@gmpg.org	$238.66	27/02/21	04:56:37
mlawdhamcf@ox.ac.uk	$458.35	06/02/21	07:44:46
dpieterscg@reverbnation.com	$214.59	04/02/21	10:23:45
jkalkerch@wisc.edu	$525.98	04/04/21	07:04:45
jlevermoreci@reverbnation.com	$148.60	21/01/21	22:56:38
